ID,P17,P45,P73,P84,P100,P112,P5,P10,P39,P107,P3,P15,P48,P75,P101,P24,P42,P76,P99
G0_1PS_6_3,119119,196196,279282,301301,352352,385385,082082,105108,177177,369372,092092,121121,201201,266268,360360,145148,192194,275288,358358
G0_1PS_6_4,119119,193196,279282,301301,352352,385385,082082,105108,177177,372372,090092,121127,201201,268268,367367,145148,194194,275288,341358
G0_1PS_6_5,119119,196196,282282,301301,352352,385385,073079,108108,177177,369372,090092,127127,201201,268268,346346,145148,192194,275288,341358
G0_1PS_6_6,119119,196196,279282,301301,352358,385385,082082,105108,177177,369372,092092,127127,201201,266268,346346,145148,192192,288288,358358
G0_1PS_6_7,119119,193193,279279,299301,358358,385385,082082,105108,177177,372372,090092,121127,201201,268268,346346,145148,190194,288288,358358
G0_1PS_6_8,119119,193196,279282,301301,352358,385385,082082,108111,177177,369372,092092,121127,201201,266266,346346,148148,194194,275288,358358
G0_1PS_6_9,119119,196196,279282,301301,352360,385385,073079,000000,177177,372372,090092,127127,201201,266268,346346,145148,192194,275288,341341
G0_2PL_1_1,119123,196196,282282,301301,352352,382385,082082,105108,177179,363372,090090,127127,201201,268279,346346,145145,192192,288288,344358
G0_2PL_1_2,119123,196196,282282,301301,352352,382385,073073,000000,177179,372372,090092,127131,201201,268268,346346,145145,192194,288291,344358
G0_2PL_1_3,119123,196196,279282,301301,352352,382382,082082,105108,179179,363372,090092,127127,201201,268268,346346,145145,192192,288291,344344
G0_2PL_1_4,119119,196196,282282,301301,352360,382385,073079,105108,179179,363363,090092,127127,201201,268279,346346,145145,192192,291291,344358
G0_2PL_2_1,123123,196196,279282,301301,352360,382385,082082,105108,179179,363372,092092,123127,201201,268268,346346,145145,192194,288291,344358
G0_2PL_2_2,119119,196196,282282,301301,352352,382385,082082,105108,177179,363372,090090,123127,201201,268279,346346,145145,192194,291291,344358
G0_2PL_2_3,119123,196196,279282,301301,352360,382382,082082,105108,179179,363372,090092,123127,201201,268268,346346,145145,192192,288291,344344
G0_2PL_2_4,119123,196196,279282,301301,352352,382385,082082,105108,177179,372372,090092,123127,201201,268268,346346,145145,192192,288288,344358
